comarca,serventia,ano_ref,Distribuidos_ano,Baixados_ano,Pendentes_ano,Taxa_Cong_anual (%)
GOIÂNIA,1º Juizado de Violência Doméstica e Familiar contra a Mulher,2025,2599,3778,1698,31.01
GOIÂNIA,1º Juízo do Núcleo de Justiça 4.0 especializado em matéria de Juizado Especial da Fazenda Pública,2025,7436,9439,11261,54.4
GOIÂNIA,1º Núcleo de Justiça 4.0,2025,384,10,1076,99.08
GOIÂNIA,20ª Vara Cível,2025,2118,2357,3559,60.16
GOIÂNIA,21ª Vara Cível,2025,2153,2470,3480,58.49
GOIÂNIA,22ª Vara Cível,2025,2115,2650,2951,52.69
GOIÂNIA,23ª Vara Cível,2025,2157,2239,3189,58.75
GOIÂNIA,24ª Vara Cível e de Arbitragem,2025,2177,2204,3857,63.64
GOIÂNIA,25ª Vara Cível,2025,2177,2421,3899,61.69
GOIÂNIA,26ª Vara Cível,2025,2142,2417,2803,53.7
GOIÂNIA,27ª Vara Cível,2025,2186,2323,3415,59.52
GOIÂNIA,28ª Vara Cível,2025,2128,2389,3036,55.96
GOIÂNIA,29ª Vara Cível,2025,2221,2644,3915,59.69
GOIÂNIA,2ª Vara Criminal dos Crimes Dolosos contra a Vida e Tribunal do Júri,2025,381,578,257,30.78
GOIÂNIA,2ª Vara Cível,2025,2157,2465,3260,56.94
GOIÂNIA,2ª Vara de Execução Penal,2025,1389,603,3864,86.5
GOIÂNIA,"2ª Vara dos Feitos Relativos a Delitos Praticados por Organização Criminosa e de Lavagem ou Ocultação de Bens, Direitos e Valores",2025,514,725,852,54.03
GOIÂNIA,2° CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA,2025,1594,1690,24,1.4
GOIÂNIA,2º CEJUSC DOS PARCEIROS,2025,2426,2424,105,4.15
GOIÂNIA,2º Juizado Especial Criminal,2025,3413,4047,889,18.01
GOIÂNIA,2º Juizado Especial Cível,2025,5526,5978,3163,34.6
GOIÂNIA,2º Juizado da Infância e da Juventude das causas infracionais questões adm. afins,2025,1278,1334,466,25.89
GOIÂNIA,2º Juizado de Violência Doméstica e Familiar contra a Mulher,2025,2555,3532,1798,33.73
GOIÂNIA,2º Juízo do Núcleo de Justiça 4.0 especializado em matéria de Juizado Especial da Fazenda Pública,2025,7362,9782,9843,50.16
GOIÂNIA,30ª Vara Cível,2025,2124,2893,3062,51.42
GOIÂNIA,31ª Vara Cível,2025,2210,2484,3840,60.72
GOIÂNIA,32ª Vara Cível,2025,2166,2280,3091,57.55
GOIÂNIA,3ª Vara Criminal dos Crimes Dolosos contra a Vida e Tribunal do Júri,2025,375,576,382,39.87
GOIÂNIA,3ª Vara Cível,2025,2185,2160,3811,63.83
GOIÂNIA,3ª Vara da Fazenda Pública Estadual Execução Fiscal,2025,1211,4534,5224,53.54
GOIÂNIA,3ª Vara de Execução Penal,2025,906,1850,4097,68.89
GOIÂNIA,3º CEJUSC DOS PARCEIROS,2025,2104,2001,294,12.81
GOIÂNIA,3º Juizado Especial Criminal,2025,3382,3859,431,10.05
GOIÂNIA,3º Juizado Especial Cível,2025,5527,5985,1975,24.81
GOIÂNIA,3º Juizado de Violência Doméstica e Familiar contra a Mulher,2025,2594,3497,1103,23.98
GOIÂNIA,3º Juízo do Núcleo de Justiça 4.0 especializado em matéria de Juizado Especial da Fazenda Pública,2025,7387,8482,9819,53.65
GOIÂNIA,4ª Vara Cível,2025,2192,1861,3360,64.36
GOIÂNIA,4º Juizado Especial Cível,2025,5531,6365,2395,27.34
GOIÂNIA,4º Juizado de Violência Doméstica e Familiar contra a Mulher,2025,2607,4084,1419,25.79
GOIÂNIA,4º Juízo do Núcleo de Justiça 4.0 especializado em matéria de Juizado Especial da Fazenda Pública,2025,7421,9090,10235,52.96
GOIÂNIA,5ª Vara Cível e de Arbitragem,2025,2165,2152,4168,65.95
GOIÂNIA,5º Juizado Especial Cível,2025,5520,6313,2254,26.31
GOIÂNIA,6ª Vara Criminal dos crimes punidos com reclusão e detenção,2025,1060,1367,1372,50.09
GOIÂNIA,6ª Vara Cível,2025,2218,1993,3693,64.95
GOIÂNIA,6º Juizado Especial Cível,2025,5531,5991,2367,28.32
GOIÂNIA,7ª Vara Cível,2025,2168,2929,3461,54.16
GOIÂNIA,7ª Vara da Fazenda Pública Estadual,2025,1312,2871,4355,60.27
GOIÂNIA,7º CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA,2025,2643,2186,896,29.07
GOIÂNIA,7º Juizado Especial Cível,2025,5540,6306,3417,35.14
GOIÂNIA,8ª Vara Cível,2025,2145,2448,2698,52.43
GOIÂNIA,8ª Vara da Fazenda Pública Estadual,2025,6623,2339,15852,87.14
GOIÂNIA,8º Juizado Especial Cível,2025,5534,5732,3280,36.4
